"","Order","Genus","Species","Binomial","AdultBodyMass_g","DietBreadth","HabitatBreadth","HomeRange_km2"
"326","Rodentia","Chinchilla","lanigera","Chinchilla lanigera",480.28,6,1,NA
"327","Rodentia","Chinchillula","sahamae","Chinchillula sahamae",169.74,3,1,NA
"328","Rodentia","Chionomys","gud","Chionomys gud",NA,NA,NA,NA
"329","Rodentia","Chionomys","nivalis","Chionomys nivalis",42.01,NA,NA,NA
"330","Rodentia","Chionomys","roberti","Chionomys roberti",NA,NA,NA,NA
"331","Rodentia","Chiromyscus","chiropus","Chiromyscus chiropus",NA,NA,NA,NA
"332","Rodentia","Chiropodomys","calamianensis","Chiropodomys calamianensis",28.9,NA,NA,NA
"333","Rodentia","Chiropodomys","gliroides","Chiropodomys gliroides",23.68,NA,NA,NA
"334","Rodentia","Chiropodomys","karlkoopmani","Chiropodomys karlkoopmani",NA,NA,NA,NA
"335","Rodentia","Chiropodomys","major","Chiropodomys major",28.9,NA,NA,NA
"336","Rodentia","Chiropodomys","muroides","Chiropodomys muroides",28.9,NA,NA,NA
"337","Rodentia","Chiropodomys","pusillus","Chiropodomys pusillus",28.9,NA,NA,NA
"338","Rodentia","Chiruromys","forbesi","Chiruromys forbesi",105.15,NA,2,NA
"339","Rodentia","Chiruromys","lamia","Chiruromys lamia",47.2,NA,2,NA
"340","Rodentia","Chiruromys","vates","Chiruromys vates",45.46,NA,2,NA
"341","Rodentia","Chrotomys","gonzalesi","Chrotomys gonzalesi",140.2,1,NA,NA
"342","Rodentia","Chrotomys","mindorensis","Chrotomys mindorensis",151.98,NA,NA,NA
"343","Rodentia","Chrotomys","silaceus","Chrotomys silaceus",NA,NA,NA,NA
"344","Rodentia","Chrotomys","whiteheadi","Chrotomys whiteheadi",151.98,NA,NA,NA
"345","Rodentia","Clidomys","osborni","Clidomys osborni",NA,NA,NA,NA
"346","Rodentia","Clyomys","bishopi","Clyomys bishopi",30,NA,NA,NA
"347","Rodentia","Clyomys","laticeps","Clyomys laticeps",201,NA,2,NA
"348","Rodentia","Coccymys","albidens","Coccymys albidens",NA,NA,2,NA
"349","Rodentia","Coccymys","ruemmleri","Coccymys ruemmleri",29.7,2,2,NA
"350","Rodentia","Coendou","bicolor","Coendou bicolor",4492.49,4,1,NA
"351","Rodentia","Coendou","nycthemera","Coendou nycthemera",2999.98,NA,NA,NA
"352","Rodentia","Coendou","prehensilis","Coendou prehensilis",4116.2,5,1,0.14
"353","Rodentia","Coendou","rothschildi","Coendou rothschildi",2000,2,1,NA
"354","Rodentia","Colomys","goslingi","Colomys goslingi",62.5,NA,NA,NA
"355","Rodentia","Conilurus","albipes","Conilurus albipes",200,NA,NA,NA
"356","Rodentia","Conilurus","penicillatus","Conilurus penicillatus",175.02,5,2,NA
"357","Rodentia","Coryphomys","buehleri","Coryphomys buehleri",NA,NA,NA,NA
"358","Rodentia","Crateromys","australis","Crateromys australis",NA,NA,NA,NA
"359","Rodentia","Crateromys","heaneyi","Crateromys heaneyi",NA,NA,NA,NA
"360","Rodentia","Crateromys","paulus","Crateromys paulus",NA,NA,NA,NA
"361","Rodentia","Crateromys","schadenbergi","Crateromys schadenbergi",NA,NA,NA,NA
"362","Rodentia","Cratogeomys","castanops","Cratogeomys castanops",266.83,4,2,NA
"363","Rodentia","Cratogeomys","fumosus","Cratogeomys fumosus",150,3,2,NA
"364","Rodentia","Cratogeomys","goldmani","Cratogeomys goldmani",NA,NA,NA,NA
"365","Rodentia","Cratogeomys","gymnurus","Cratogeomys gymnurus",599.99,3,2,NA
"366","Rodentia","Cratogeomys","merriami","Cratogeomys merriami",419.99,3,2,NA
"367","Rodentia","Cratogeomys","neglectus","Cratogeomys neglectus",302.48,3,2,NA
"368","Rodentia","Cratogeomys","tylorhinus","Cratogeomys tylorhinus",403.42,4,2,NA
"369","Rodentia","Cratogeomys","zinseri","Cratogeomys zinseri",150,3,2,NA
"370","Rodentia","Cremnomys","cutchicus","Cremnomys cutchicus",NA,NA,NA,NA
"371","Rodentia","Cremnomys","elvira","Cremnomys elvira",NA,NA,NA,NA
"372","Rodentia","Cricetomys","ansorgei","Cricetomys ansorgei",NA,NA,NA,NA
"373","Rodentia","Cricetomys","emini","Cricetomys emini",1280,NA,1,NA
"374","Rodentia","Cricetomys","gambianus","Cricetomys gambianus",1267.52,NA,NA,NA
"375","Rodentia","Cricetomys","kivuensis","Cricetomys kivuensis",NA,NA,NA,NA
"376","Rodentia","Cricetulus","barabensis","Cricetulus barabensis",NA,NA,NA,NA
"377","Rodentia","Cricetulus","kamensis","Cricetulus kamensis",NA,NA,NA,NA
"378","Rodentia","Cricetulus","longicaudatus","Cricetulus longicaudatus",NA,NA,NA,NA
"379","Rodentia","Cricetulus","migratorius","Cricetulus migratorius",30.59,NA,NA,NA
"380","Rodentia","Cricetulus","sokolovi","Cricetulus sokolovi",NA,NA,NA,NA
"381","Rodentia","Cricetulus","alticola","Cricetulus alticola",NA,NA,NA,NA
"382","Rodentia","Cricetus","cricetus","Cricetus cricetus",428.95,NA,NA,NA
"383","Rodentia","Crossomys","moncktoni","Crossomys moncktoni",168.42,2,3,NA
"384","Rodentia","Crunomys","celebensis","Crunomys celebensis",NA,NA,NA,NA
"385","Rodentia","Crunomys","fallax","Crunomys fallax",NA,NA,NA,NA
"386","Rodentia","Crunomys","melanius","Crunomys melanius",NA,NA,NA,NA
"387","Rodentia","Crunomys","suncoides","Crunomys suncoides",NA,NA,NA,NA
"388","Rodentia","Cryptomys","amatus","Cryptomys amatus",76.74,NA,NA,NA
"389","Rodentia","Cryptomys","anselli","Cryptomys anselli",85.59,NA,NA,NA
"390","Rodentia","Cryptomys","bocagei","Cryptomys bocagei",93.84,NA,NA,NA
"391","Rodentia","Cryptomys","damarensis","Cryptomys damarensis",112.2,1,1,0.01
"392","Rodentia","Cryptomys","darlingi","Cryptomys darlingi",65.58,NA,1,NA
"393","Rodentia","Cryptomys","foxi","Cryptomys foxi",NA,NA,NA,NA
"394","Rodentia","Cryptomys","hottentotus","Cryptomys hottentotus",75.13,1,2,0.001455832
"395","Rodentia","Cryptomys","kafuensis","Cryptomys kafuensis",NA,NA,NA,NA
"396","Rodentia","Cryptomys","mechowi","Cryptomys mechowi",271.54,1,1,NA
"397","Rodentia","Cryptomys","ochraceocinereus","Cryptomys ochraceocinereus",200,NA,NA,NA
"398","Rodentia","Cryptomys","zechi","Cryptomys zechi",NA,NA,NA,NA
"399","Rodentia","Ctenodactylus","gundi","Ctenodactylus gundi",288.41,NA,NA,NA
"400","Rodentia","Ctenodactylus","vali","Ctenodactylus vali",173.6,3,NA,NA
"401","Rodentia","Ctenomys","argentinus","Ctenomys argentinus",221.3,3,1,NA
"402","Rodentia","Ctenomys","australis","Ctenomys australis",403.32,3,2,NA
"403","Rodentia","Ctenomys","azarae","Ctenomys azarae",400,3,1,NA
"404","Rodentia","Ctenomys","bergi","Ctenomys bergi",NA,NA,NA,NA
"405","Rodentia","Ctenomys","boliviensis","Ctenomys boliviensis",462.6,3,2,NA
"406","Rodentia","Ctenomys","bonettoi","Ctenomys bonettoi",202.3,3,1,NA
"407","Rodentia","Ctenomys","brasiliensis","Ctenomys brasiliensis",NA,NA,NA,NA
"408","Rodentia","Ctenomys","budini","Ctenomys budini",NA,NA,NA,NA
"409","Rodentia","Ctenomys","colburni","Ctenomys colburni",400,3,1,NA
"410","Rodentia","Ctenomys","coludo","Ctenomys coludo",NA,3,1,NA
"411","Rodentia","Ctenomys","conoveri","Ctenomys conoveri",859.99,3,2,NA
"412","Rodentia","Ctenomys","coyhaiquensis","Ctenomys coyhaiquensis",NA,NA,NA,NA
"413","Rodentia","Ctenomys","dorbignyi","Ctenomys dorbignyi",NA,3,1,NA
"414","Rodentia","Ctenomys","dorsalis","Ctenomys dorsalis",165.6,3,1,NA
"415","Rodentia","Ctenomys","emilianus","Ctenomys emilianus",285.29,3,1,NA
"416","Rodentia","Ctenomys","famosus","Ctenomys famosus",NA,3,1,NA
"417","Rodentia","Ctenomys","flamarioni","Ctenomys flamarioni",NA,3,1,NA
"418","Rodentia","Ctenomys","fochi","Ctenomys fochi",NA,NA,NA,NA
"419","Rodentia","Ctenomys","fodax","Ctenomys fodax",NA,NA,NA,NA
"420","Rodentia","Ctenomys","frater","Ctenomys frater",172.9,3,2,NA
"421","Rodentia","Ctenomys","fulvus","Ctenomys fulvus",279.88,3,2,NA
"422","Rodentia","Ctenomys","goodfellowi","Ctenomys goodfellowi",NA,NA,NA,NA
"423","Rodentia","Ctenomys","haigi","Ctenomys haigi",164,NA,2,3.29744e-05
"424","Rodentia","Ctenomys","johannis","Ctenomys johannis",NA,3,1,NA
"425","Rodentia","Ctenomys","juris","Ctenomys juris",NA,NA,NA,NA
"426","Rodentia","Ctenomys","knighti","Ctenomys knighti",316,3,1,NA
"427","Rodentia","Ctenomys","lami","Ctenomys lami",NA,NA,NA,NA
"428","Rodentia","Ctenomys","latro","Ctenomys latro",192,3,1,NA
"429","Rodentia","Ctenomys","leucodon","Ctenomys leucodon",243.6,3,2,NA
"430","Rodentia","Ctenomys","lewisi","Ctenomys lewisi",117.2,3,3,NA
"431","Rodentia","Ctenomys","magellanicus","Ctenomys magellanicus",271.44,3,2,NA
"432","Rodentia","Ctenomys","maulinus","Ctenomys maulinus",215,3,2,NA
"433","Rodentia","Ctenomys","mendocinus","Ctenomys mendocinus",178.44,3,1,NA
"434","Rodentia","Ctenomys","minutus","Ctenomys minutus",92,3,2,NA
"435","Rodentia","Ctenomys","occultus","Ctenomys occultus",150,3,1,NA
"436","Rodentia","Ctenomys","opimus","Ctenomys opimus",327.05,3,2,NA
"437","Rodentia","Ctenomys","osvaldoreigi","Ctenomys osvaldoreigi",NA,NA,NA,NA
"438","Rodentia","Ctenomys","pearsoni","Ctenomys pearsoni",212,3,1,NA
"439","Rodentia","Ctenomys","perrensi","Ctenomys perrensi",400,3,1,NA
"440","Rodentia","Ctenomys","peruanus","Ctenomys peruanus",488.36,3,2,NA
"441","Rodentia","Ctenomys","pilarensis","Ctenomys pilarensis",NA,NA,NA,NA
"442","Rodentia","Ctenomys","pontifex","Ctenomys pontifex",400,3,1,NA
"443","Rodentia","Ctenomys","porteousi","Ctenomys porteousi",192.4,3,1,NA
"444","Rodentia","Ctenomys","pundti","Ctenomys pundti",NA,NA,NA,NA
"445","Rodentia","Ctenomys","rionegrensis","Ctenomys rionegrensis",NA,3,1,NA
"446","Rodentia","Ctenomys","roigi","Ctenomys roigi",NA,NA,NA,NA
"447","Rodentia","Ctenomys","saltarius","Ctenomys saltarius",230,3,1,NA
"448","Rodentia","Ctenomys","scagliai","Ctenomys scagliai",NA,NA,NA,NA
"449","Rodentia","Ctenomys","sericeus","Ctenomys sericeus",400,3,1,NA
"450","Rodentia","Ctenomys","sociabilis","Ctenomys sociabilis",400,NA,NA,NA
"451","Rodentia","Ctenomys","steinbachi","Ctenomys steinbachi",384.99,3,2,NA
"452","Rodentia","Ctenomys","sylvanus","Ctenomys sylvanus",NA,NA,NA,NA
"453","Rodentia","Ctenomys","talarum","Ctenomys talarum",140.84,4,1,2.0373e-05
"454","Rodentia","Ctenomys","torquatus","Ctenomys torquatus",209.49,3,2,NA
"455","Rodentia","Ctenomys","tuconax","Ctenomys tuconax",248.99,3,1,NA
"456","Rodentia","Ctenomys","tucumanus","Ctenomys tucumanus",217,3,1,NA
"457","Rodentia","Ctenomys","tulduco","Ctenomys tulduco",NA,3,1,NA
"458","Rodentia","Ctenomys","validus","Ctenomys validus",232.6,3,1,NA
"459","Rodentia","Ctenomys","viperinus","Ctenomys viperinus",NA,NA,NA,NA
"460","Rodentia","Ctenomys","yolandae","Ctenomys yolandae",NA,3,1,NA
"461","Rodentia","Cuniculus","paca","Cuniculus paca",8172.55,5,2,NA
"462","Rodentia","Cuniculus","taczanowskii","Cuniculus taczanowskii",8999.95,4,2,NA
"463","Rodentia","Cuscomys","ashaninka","Cuscomys ashaninka",NA,NA,NA,NA
"464","Rodentia","Cuscomys","oblativa","Cuscomys oblativa",NA,NA,NA,NA
"465","Rodentia","Cynomys","gunnisoni","Cynomys gunnisoni",797.93,5,2,0.007188295
"466","Rodentia","Cynomys","leucurus","Cynomys leucurus",963.76,1,2,0.05
"467","Rodentia","Cynomys","ludovicianus","Cynomys ludovicianus",797.05,4,2,0.001787394
"468","Rodentia","Cynomys","mexicanus","Cynomys mexicanus",899.98,2,2,NA
"469","Rodentia","Cynomys","parvidens","Cynomys parvidens",899.98,1,2,NA
"470","Rodentia","Dacnomys","millardi","Dacnomys millardi",NA,NA,NA,NA
"471","Rodentia","Dactylomys","boliviensis","Dactylomys boliviensis",728.8,NA,NA,NA
"472","Rodentia","Dactylomys","dactylinus","Dactylomys dactylinus",649.98,2,1,0.001669342
"473","Rodentia","Dactylomys","peruanus","Dactylomys peruanus",382,NA,NA,NA
"474","Rodentia","Dasymys","montanus","Dasymys montanus",NA,NA,NA,NA
"475","Rodentia","Dasymys","nudipes","Dasymys nudipes",NA,NA,NA,NA
"476","Rodentia","Dasymys","rufulus","Dasymys rufulus",NA,NA,NA,NA
"477","Rodentia","Dasymys","rwandae","Dasymys rwandae",NA,NA,NA,NA
"478","Rodentia","Dasymys","sua","Dasymys sua",NA,NA,NA,NA
"479","Rodentia","Dasymys","alleni","Dasymys alleni",NA,NA,NA,NA
"480","Rodentia","Dasymys","cabrali","Dasymys cabrali",NA,NA,NA,NA
"481","Rodentia","Dasymys","foxi","Dasymys foxi",NA,NA,NA,NA
"482","Rodentia","Dasymys","incomtus","Dasymys incomtus",127.75,NA,NA,NA
"483","Rodentia","Dasyprocta","azarae","Dasyprocta azarae",2976.81,3,1,NA
"484","Rodentia","Dasyprocta","coibae","Dasyprocta coibae",NA,3,1,NA
"485","Rodentia","Dasyprocta","cristata","Dasyprocta cristata",2650.03,3,1,NA
"486","Rodentia","Dasyprocta","fuliginosa","Dasyprocta fuliginosa",3500.02,3,1,NA
"487","Rodentia","Dasyprocta","guamara","Dasyprocta guamara",2650.03,3,1,NA
"488","Rodentia","Dasyprocta","kalinowskii","Dasyprocta kalinowskii",2650.03,3,1,NA
"489","Rodentia","Dasyprocta","leporina","Dasyprocta leporina",3009.99,3,1,NA
"490","Rodentia","Dasyprocta","mexicana","Dasyprocta mexicana",4999.99,3,1,NA
"491","Rodentia","Dasyprocta","prymnolopha","Dasyprocta prymnolopha",2900,3,1,NA
"492","Rodentia","Dasyprocta","punctata","Dasyprocta punctata",2309.12,3,2,NA
"493","Rodentia","Dasyprocta","ruatanica","Dasyprocta ruatanica",NA,3,1,NA
"494","Rodentia","Delanymys","brooksi","Delanymys brooksi",4.99,NA,NA,NA
"495","Rodentia","Delomys","collinus","Delomys collinus",NA,NA,NA,NA
"496","Rodentia","Delomys","dorsalis","Delomys dorsalis",67.5,NA,1,NA
"497","Rodentia","Delomys","sublineatus","Delomys sublineatus",89.99,NA,1,NA
"498","Rodentia","Deltamys","kempi","Deltamys kempi",26.4,NA,1,NA
"499","Rodentia","Dendromus","insignis","Dendromus insignis",NA,NA,NA,NA
"500","Rodentia","Dendromus","kahuziensis","Dendromus kahuziensis",NA,NA,NA,NA
"501","Rodentia","Dendromus","leucostomus","Dendromus leucostomus",NA,NA,NA,NA
"502","Rodentia","Dendromus","lovati","Dendromus lovati",12,NA,NA,NA
"503","Rodentia","Dendromus","melanotis","Dendromus melanotis",9.1,NA,NA,NA
"504","Rodentia","Dendromus","mesomelas","Dendromus mesomelas",10.2,NA,1,NA
"505","Rodentia","Dendromus","messorius","Dendromus messorius",NA,NA,NA,NA
"506","Rodentia","Dendromus","mystacalis","Dendromus mystacalis",8.17,NA,NA,NA
"507","Rodentia","Dendromus","nyasae","Dendromus nyasae",NA,NA,NA,NA
"508","Rodentia","Dendromus","nyikae","Dendromus nyikae",15,NA,NA,NA
"509","Rodentia","Dendromus","oreas","Dendromus oreas",NA,NA,NA,NA
"510","Rodentia","Dendromus","vernayi","Dendromus vernayi",NA,NA,NA,NA
"511","Rodentia","Dendroprionomys","rousseloti","Dendroprionomys rousseloti",NA,NA,NA,NA
"512","Rodentia","Deomys","ferrugineus","Deomys ferrugineus",57.6,NA,NA,NA
"513","Rodentia","Dephomys","defua","Dephomys defua",43.05,NA,NA,NA
"514","Rodentia","Dephomys","eburneae","Dephomys eburneae",52.5,NA,NA,NA
"515","Rodentia","Desmodilliscus","braueri","Desmodilliscus braueri",10,NA,NA,NA
"516","Rodentia","Desmodillus","auricularis","Desmodillus auricularis",54.81,1,NA,NA
"517","Rodentia","Desmomys","harringtoni","Desmomys harringtoni",89.99,NA,NA,NA
"518","Rodentia","Desmomys","yaldeni","Desmomys yaldeni",NA,NA,NA,NA
"519","Rodentia","Dicrostonyx","groenlandicus","Dicrostonyx groenlandicus",58.44,NA,NA,0.007305693
"520","Rodentia","Dicrostonyx","hudsonius","Dicrostonyx hudsonius",57,NA,NA,NA
"521","Rodentia","Dicrostonyx","nelsoni","Dicrostonyx nelsoni",NA,NA,NA,NA
"522","Rodentia","Dicrostonyx","nunatakensis","Dicrostonyx nunatakensis",NA,NA,NA,NA
"523","Rodentia","Dicrostonyx","richardsoni","Dicrostonyx richardsoni",NA,NA,NA,NA
"524","Rodentia","Dicrostonyx","torquatus","Dicrostonyx torquatus",78.77,NA,NA,NA
"525","Rodentia","Dicrostonyx","unalascensis","Dicrostonyx unalascensis",NA,NA,NA,NA
"526","Rodentia","Dicrostonyx","vinogradovi","Dicrostonyx vinogradovi",NA,NA,NA,NA
"527","Rodentia","Dinaromys","bogdanovi","Dinaromys bogdanovi",56,NA,NA,NA
"528","Rodentia","Dinomys","branickii","Dinomys branickii",12500,4,2,NA
"529","Rodentia","Diomys","crumpi","Diomys crumpi",NA,NA,NA,NA
"530","Rodentia","Diplomys","caniceps","Diplomys caniceps",394.49,2,1,NA
"531","Rodentia","Diplomys","labilis","Diplomys labilis",282.17,2,2,NA
"532","Rodentia","Diplomys","rufodorsalis","Diplomys rufodorsalis",144.8,2,1,NA
"533","Rodentia","Diplothrix","legata","Diplothrix legata",NA,NA,NA,NA
"534","Rodentia","Dipodillus","bottai","Dipodillus bottai",NA,NA,NA,NA
"535","Rodentia","Dipodillus","campestris","Dipodillus campestris",27.58,NA,NA,NA
"536","Rodentia","Dipodillus","dasyurus","Dipodillus dasyurus",27.5,NA,NA,NA
"537","Rodentia","Dipodillus","harwoodi","Dipodillus harwoodi",NA,NA,NA,NA
"538","Rodentia","Dipodillus","jamesi","Dipodillus jamesi",NA,NA,NA,NA
"539","Rodentia","Dipodillus","lowei","Dipodillus lowei",NA,NA,NA,NA
"540","Rodentia","Dipodillus","mackilligini","Dipodillus mackilligini",NA,NA,NA,NA
"541","Rodentia","Dipodillus","maghrebi","Dipodillus maghrebi",NA,NA,NA,NA
"542","Rodentia","Dipodillus","rupicola","Dipodillus rupicola",NA,NA,NA,NA
"543","Rodentia","Dipodillus","simoni","Dipodillus simoni",17.4,NA,NA,NA
"544","Rodentia","Dipodillus","somalicus","Dipodillus somalicus",NA,NA,NA,NA
"545","Rodentia","Dipodillus","stigmonyx","Dipodillus stigmonyx",NA,NA,NA,NA
"546","Rodentia","Dipodillus","zakariai","Dipodillus zakariai",NA,NA,NA,NA
"547","Rodentia","Dipodomys","agilis","Dipodomys agilis",60.21,NA,NA,0.002396454
"548","Rodentia","Dipodomys","californicus","Dipodomys californicus",84.95,4,NA,NA
"549","Rodentia","Dipodomys","compactus","Dipodomys compactus",49.25,NA,NA,NA
"550","Rodentia","Dipodomys","deserti","Dipodomys deserti",107.63,5,2,NA
"551","Rodentia","Dipodomys","elator","Dipodomys elator",105.82,4,NA,0.00073307
"552","Rodentia","Dipodomys","gravipes","Dipodomys gravipes",83.96,NA,2,NA
"553","Rodentia","Dipodomys","heermanni","Dipodomys heermanni",63.08,4,2,NA
"554","Rodentia","Dipodomys","ingens","Dipodomys ingens",113.61,3,2,0.000314541
"555","Rodentia","Dipodomys","merriami","Dipodomys merriami",37.91,1,NA,0.001745298
"556","Rodentia","Dipodomys","microps","Dipodomys microps",56.26,3,2,0.03
"557","Rodentia","Dipodomys","nelsoni","Dipodomys nelsoni",87.93,1,2,NA
"558","Rodentia","Dipodomys","nitratoides","Dipodomys nitratoides",41.59,2,2,NA
"559","Rodentia","Dipodomys","ordii","Dipodomys ordii",50.4,5,NA,0.004440926
"560","Rodentia","Dipodomys","panamintinus","Dipodomys panamintinus",73.67,NA,2,0.003884943
"561","Rodentia","Dipodomys","phillipsii","Dipodomys phillipsii",41,3,2,NA
"562","Rodentia","Dipodomys","simulans","Dipodomys simulans",NA,NA,NA,NA
"563","Rodentia","Dipodomys","spectabilis","Dipodomys spectabilis",124.61,4,2,0.000506179
"564","Rodentia","Dipodomys","stephensi","Dipodomys stephensi",68.49,1,NA,0.000790491
"565","Rodentia","Dipodomys","venustus","Dipodomys venustus",81.52,2,2,NA
"566","Rodentia","Dipus","sagitta","Dipus sagitta",89,7,NA,NA
"567","Rodentia","Dolichotis","patagonum","Dolichotis patagonum",8000,2,2,0.69
"568","Rodentia","Dolichotis","salinicola","Dolichotis salinicola",1607.6,4,1,NA
"569","Rodentia","Dremomys","everetti","Dremomys everetti",129.78,5,2,NA
"570","Rodentia","Dremomys","gularis","Dremomys gularis",NA,NA,NA,NA
"571","Rodentia","Dremomys","lokriah","Dremomys lokriah",226.99,NA,1,NA
"572","Rodentia","Dremomys","pernyi","Dremomys pernyi",198.63,NA,1,NA
"573","Rodentia","Dremomys","pyrrhomerus","Dremomys pyrrhomerus",NA,NA,NA,NA
"574","Rodentia","Dremomys","rufigenis","Dremomys rufigenis",200.32,NA,NA,NA
"575","Rodentia","Dryomys","laniger","Dryomys laniger",25.91,4,3,NA
"576","Rodentia","Dryomys","niethammeri","Dryomys niethammeri",NA,NA,NA,NA
"577","Rodentia","Dryomys","nitedula","Dryomys nitedula",29.5,4,3,NA
"578","Rodentia","Echimys","chrysurus","Echimys chrysurus",609.99,2,1,NA
"579","Rodentia","Echimys","saturnus","Echimys saturnus",626.89,NA,NA,NA
"580","Rodentia","Echimys","semivillosus","Echimys semivillosus",282.36,1,1,NA
"581","Rodentia","Echinoprocta","rufescens","Echinoprocta rufescens",831.79,NA,NA,NA
"582","Rodentia","Echiothrix","centrosa","Echiothrix centrosa",NA,NA,NA,NA
"583","Rodentia","Echiothrix","leucura","Echiothrix leucura",NA,1,NA,NA
"584","Rodentia","Elasmodontomys","obliquus","Elasmodontomys obliquus",13700,NA,NA,NA
"585","Rodentia","Eligmodontia","moreni","Eligmodontia moreni",18,NA,NA,NA
"586","Rodentia","Eligmodontia","morgani","Eligmodontia morgani",16.5,NA,NA,NA
"587","Rodentia","Eligmodontia","puerulus","Eligmodontia puerulus",28.49,NA,NA,NA
"588","Rodentia","Eligmodontia","typus","Eligmodontia typus",17.37,1,2,NA
"589","Rodentia","Eliomys","melanurus","Eliomys melanurus",100.36,4,NA,NA
"590","Rodentia","Eliomys","munbyanus","Eliomys munbyanus",NA,NA,NA,NA
"591","Rodentia","Eliomys","quercinus","Eliomys quercinus",114.61,5,2,NA
"592","Rodentia","Eliurus","antsingy","Eliurus antsingy",NA,NA,NA,NA
"593","Rodentia","Eliurus","ellermani","Eliurus ellermani",100,NA,NA,NA
"594","Rodentia","Eliurus","grandidieri","Eliurus grandidieri",NA,NA,NA,NA
"595","Rodentia","Eliurus","majori","Eliurus majori",100,NA,NA,NA
"596","Rodentia","Eliurus","minor","Eliurus minor",57.53,NA,1,NA
"597","Rodentia","Eliurus","myoxinus","Eliurus myoxinus",69.76,3,2,NA
"598","Rodentia","Eliurus","penicillatus","Eliurus penicillatus",100,NA,NA,NA
"599","Rodentia","Eliurus","petteri","Eliurus petteri",75,NA,NA,NA
"600","Rodentia","Eliurus","tanala","Eliurus tanala",89.99,NA,NA,NA
"601","Rodentia","Eliurus","webbi","Eliurus webbi",61.13,1,NA,NA
"602","Rodentia","Ellobius","alaicus","Ellobius alaicus",NA,NA,NA,NA
"603","Rodentia","Ellobius","fuscocapillus","Ellobius fuscocapillus",80,1,NA,NA
"604","Rodentia","Ellobius","lutescens","Ellobius lutescens",NA,NA,NA,NA
"605","Rodentia","Ellobius","talpinus","Ellobius talpinus",40,NA,1,NA
"606","Rodentia","Ellobius","tancrei","Ellobius tancrei",NA,NA,NA,NA
"607","Rodentia","Eoglaucomys","fimbriatus","Eoglaucomys fimbriatus",510,NA,1,NA
"608","Rodentia","Eolagurus","luteus","Eolagurus luteus",26,NA,NA,NA
"609","Rodentia","Eolagurus","przewalskii","Eolagurus przewalskii",NA,NA,NA,NA
"610","Rodentia","Eospalax","fontanierii","Eospalax fontanierii",256.76,NA,NA,NA
"611","Rodentia","Eospalax","rothschildi","Eospalax rothschildi",NA,NA,NA,NA
"612","Rodentia","Eospalax","smithii","Eospalax smithii",NA,NA,NA,NA
"613","Rodentia","Eothenomys","cachinus","Eothenomys cachinus",NA,NA,NA,NA
"614","Rodentia","Eothenomys","chinensis","Eothenomys chinensis",NA,NA,NA,NA
"615","Rodentia","Eothenomys","custos","Eothenomys custos",NA,NA,NA,NA
"616","Rodentia","Eothenomys","melanogaster","Eothenomys melanogaster",19.59,NA,NA,NA
"617","Rodentia","Eothenomys","miletus","Eothenomys miletus",NA,NA,NA,NA
"618","Rodentia","Eothenomys","olitor","Eothenomys olitor",NA,NA,NA,NA
"619","Rodentia","Eothenomys","proditor","Eothenomys proditor",NA,NA,NA,NA
"620","Rodentia","Eothenomys","wardi","Eothenomys wardi",NA,NA,NA,NA
"621","Rodentia","Eozapus","setchuanus","Eozapus setchuanus",NA,NA,NA,NA
"622","Rodentia","Epixerus","ebii","Epixerus ebii",520.96,1,2,NA
"623","Rodentia","Eremodipus","lichtensteini","Eremodipus lichtensteini",NA,NA,NA,NA
"624","Rodentia","Erethizon","dorsatum","Erethizon dorsatum",7419.46,6,2,0.1
"625","Rodentia","Eropeplus","canus","Eropeplus canus",NA,NA,NA,NA
"626","Rodentia","Euchoreutes","naso","Euchoreutes naso",NA,NA,1,NA
"627","Rodentia","Euneomys","chinchilloides","Euneomys chinchilloides",75.57,NA,1,NA
"628","Rodentia","Euneomys","fossor","Euneomys fossor",83,NA,NA,NA
"629","Rodentia","Euneomys","mordax","Euneomys mordax",81.99,NA,2,NA
"630","Rodentia","Euneomys","petersoni","Euneomys petersoni",83,NA,NA,NA
"631","Rodentia","Eupetaurus","cinereus","Eupetaurus cinereus",NA,2,2,NA
"632","Rodentia","Euryzygomatomys","spinosus","Euryzygomatomys spinosus",187.49,NA,NA,NA
"633","Rodentia","Exilisciurus","concinnus","Exilisciurus concinnus",27.72,NA,NA,NA
"634","Rodentia","Exilisciurus","exilis","Exilisciurus exilis",21.75,NA,NA,NA
"635","Rodentia","Exilisciurus","whiteheadi","Exilisciurus whiteheadi",24.91,NA,NA,NA
"636","Rodentia","Felovia","vae","Felovia vae",205,3,NA,NA
"637","Rodentia","Funambulus","layardi","Funambulus layardi",NA,NA,NA,NA
"638","Rodentia","Funambulus","palmarum","Funambulus palmarum",136.4,NA,NA,NA
"639","Rodentia","Funambulus","pennantii","Funambulus pennantii",102.49,NA,NA,0.001374507
"640","Rodentia","Funambulus","sublineatus","Funambulus sublineatus",70.93,NA,NA,NA
"641","Rodentia","Funambulus","tristriatus","Funambulus tristriatus",134.62,NA,NA,NA
"642","Rodentia","Funisciurus","anerythrus","Funisciurus anerythrus",223.54,1,2,NA
"643","Rodentia","Funisciurus","bayonii","Funisciurus bayonii",134.99,NA,NA,NA
"644","Rodentia","Funisciurus","carruthersi","Funisciurus carruthersi",276.85,NA,NA,NA
"645","Rodentia","Funisciurus","congicus","Funisciurus congicus",112,4,2,0.003290498
